"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;17;8
Bayern;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"städtisches Gebiet";Hintergrund;27;27
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;22;12
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;22;5
Bayern;DEBY093;Sulzbach-Rosenberg/Lohe;"vorstädtisches Gebiet";Hintergrund;25;32
Bayern;DEBY099;Augsburg/LfU;"vorstädtisches Gebiet";Hintergrund;24;23
Bayern;DEBY109;Andechs/Rothenfeld;"ländlich regional";Hintergrund;18;5
Bayern;DEBY113;Erlangen/Kraepelinstraße;"vorstädtisches Gebiet";Hintergrund;20;8
Bayern;DEBY001;Ansbach/Residenzstraße;"städtisches Gebiet";Verkehr;31;46
Bayern;DEBY006;Augsburg/Königsplatz;"städtisches Gebiet";Verkehr;38;73
Bayern;DEBY010;Bayreuth/Rathaus;"städtisches Gebiet";Verkehr;25;20
Bayern;DEBY014;Coburg/Lossaustraße;"städtisches Gebiet";Verkehr;25;16
Bayern;DEBY021;Ingolstadt/Rechbergstraße;"städtisches Gebiet";Verkehr;26;29
Bayern;DEBY028;"Kelheim/Regensburger Straße";"städtisches Gebiet";Verkehr;26;27
Bayern;DEBY033;Landshut/Podewilsstraße;"städtisches Gebiet";Verkehr;26;29
Bayern;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"städtisches Gebiet";Verkehr;29;42
Bayern;DEBY037;München/Stachus;"städtisches Gebiet";Verkehr;37;60
Bayern;DEBY053;Nürnberg/Bahnhof;"städtisches Gebiet";Verkehr;32;41
Bayern;DEBY054;Nürnberg/Ziegelsteinstraße;"städtisches Gebiet";Verkehr;27;25
Bayern;DEBY056;Fürth/Theresienstraße;"städtisches Gebiet";Verkehr;29;24
Bayern;DEBY061;"Passau/Kleiner Exerzierplatz";"städtisches Gebiet";Verkehr;34;67
Bayern;DEBY063;Regensburg/Rathaus;"städtisches Gebiet";Verkehr;32;49
Bayern;DEBY076;Würzburg/Kardinal-Faulhaber-Platz;"städtisches Gebiet";Verkehr;29;34
Bayern;DEBY085;München/Luise-Kiesselbach-Platz;"städtisches Gebiet";Verkehr;30;37
Bayern;DEBY110;Augsburg/Karlstraße;"städtisches Gebiet";Verkehr;35;63
Bayern;DEBY111;Bayreuth/Hohenzollernring;"städtisches Gebiet";Verkehr;33;44
Bayern;DEBY114;München/Prinzregentenstraße;"städtisches Gebiet";Verkehr;32;8
Bayern;DEBY115;"München/Landshuter Allee";"städtisches Gebiet";Verkehr;42;43
Berlin;DEBE010;"Berlin Wedding";"städtisches Gebiet";Hintergrund;24;18
Berlin;DEBE018;"Berlin Schöneberg";"städtisches Gebiet";Hintergrund;25;19
Berlin;DEBE027;"Berlin Marienfelde";"ländlich stadtnah";Hintergrund;22;14
Berlin;DEBE032;"Berlin Grunewald (3.5 m)";"ländlich stadtnah";Hintergrund;20;5
Berlin;DEBE034;"Berlin Neukölln";"städtisches Gebiet";Hintergrund;26;17
Berlin;DEBE051;"Berlin Buch";"vorstädtisches Gebiet";Hintergrund;22;15
Berlin;DEBE056;"Berlin Friedrichshagen";"ländlich stadtnah";Hintergrund;20;7
Berlin;DEBE068;"Berlin Mitte";"städtisches Gebiet";Hintergrund;27;21
Berlin;DEBE014;"Berlin Charlottenburg-Stadtautobahn (Sondermessstation)";"städtisches Gebiet";Verkehr;36;61
Berlin;DEBE061;"Berlin Schildhornstraße";"städtisches Gebiet";Verkehr;34;38
Berlin;DEBE065;"Berlin Frankfurter Allee";"städtisches Gebiet";Verkehr;34;41
Brandenburg;DEBB021;Potsdam-Zentrum;"städtisches Gebiet";Hintergrund;23;10
Brandenburg;DEBB024;Senftenberg;"städtisches Gebiet";Hintergrund;24;16
Brandenburg;DEBB031;"Königs Wusterhausen,1993-2008";"vorstädtisches Gebiet";Hintergrund;22;8
Brandenburg;DEBB042;"Frankfurt (Oder), 1997-2014";"vorstädtisches Gebiet";Hintergrund;21;9
Brandenburg;DEBB043;Luckau;"vorstädtisches Gebiet";Hintergrund;24;13
Brandenburg;DEBB048;Neuruppin;"vorstädtisches Gebiet";Hintergrund;17;4
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;20;12
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;17;3
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;16;3
Brandenburg;DEBB064;Cottbus;"städtisches Gebiet";Hintergrund;20;8
Brandenburg;DEBB066;Spreewald;"ländlich regional";Hintergrund;19;6
Brandenburg;DEBB067;Nauen;"vorstädtisches Gebiet";Hintergrund;22;7
Brandenburg;DEBB026;Spremberg-Süd;"vorstädtisches Gebiet";Industrie;18;5
Brandenburg;DEBB029;"Schwedt (Oder)";"vorstädtisches Gebiet";Industrie;19;9
Brandenburg;DEBB030;Premnitz;"vorstädtisches Gebiet";Industrie;19;3
Brandenburg;DEBB032;Eisenhüttenstadt;"vorstädtisches Gebiet";Industrie;22;11
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"städtisches Gebiet";Verkehr;34;42
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"städtisches Gebiet";Verkehr;30;27
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"städtisches Gebiet";Verkehr;26;24
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"städtisches Gebiet";Verkehr;26;15
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"städtisches Gebiet";Verkehr;29;25
Bremen;DEHB001;Bremen-Mitte;"städtisches Gebiet";Hintergrund;22;4
Bremen;DEHB002;Bremen-Ost;"städtisches Gebiet";Hintergrund;21;1
Bremen;DEHB003;Bremen-West;"städtisches Gebiet";Hintergrund;22;4
Bremen;DEHB004;Bremen-Nord;"städtisches Gebiet";Hintergrund;21;5
Bremen;DEHB005;Bremerhaven-Hansastraße;"städtisches Gebiet";Hintergrund;21;4
Bremen;DEHB006;Bremen-Dobben;"städtisches Gebiet";Verkehr;35;53
Bremen;DEHB007;"Bremen Verkehr 2";"städtisches Gebiet";Verkehr;39;66
Hamburg;DEHH008;"Hamburg Sternschanze";"städtisches Gebiet";Hintergrund;27;12
Hamburg;DEHH021;"Hamburg Tatenberg";"vorstädtisches Gebiet";Hintergrund;20;7
Hamburg;DEHH033;"Hamburg Flughafen Nord";"städtisches Gebiet";Hintergrund;21;8
Hamburg;DEHH054;"HH Bergedorf";"städtisches Gebiet";Hintergrund;22;10
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;22;8
Hamburg;DEHH074;"Hamburg Billstedt";"städtisches Gebiet";Hintergrund;22;2
Hamburg;DEHH016;"Hamburg Billbrook";"städtisches Gebiet";Industrie;25;10
Hamburg;DEHH072;"Hamburg Finkenwerder West";"städtisches Gebiet";Industrie;20;3
Hamburg;DEHH026;"Hamburg Stresemannstraße";"städtisches Gebiet";Verkehr;29;20
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"städtisches Gebiet";Verkehr;31;19
Hamburg;DEHH071;"HH Billwerder";"ländliches Gebiet";Verkehr;25;11
Hessen;DEHE001;Darmstadt;"städtisches Gebiet";Hintergrund;23;12
Hessen;DEHE005;Frankfurt-Höchst;"städtisches Gebiet";Hintergrund;25;19
Hessen;DEHE008;"Frankfurt Ost";"städtisches Gebiet";Hintergrund;26;18
Hessen;DEHE011;Hanau;"städtisches Gebiet";Hintergrund;29;19
Hessen;DEHE017;Offenbach;"städtisches Gebiet";Hintergrund;25;14
Hessen;DEHE018;Raunheim;"städtisches Gebiet";Hintergrund;23;11
Hessen;DEHE019;Viernheim;"vorstädtisches Gebiet";Hintergrund;21;10
Hessen;DEHE020;Wetzlar;"städtisches Gebiet";Hintergrund;28;19
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;23;11
Hessen;DEHE024;Witzenhausen/Wald;"ländliches Gebiet";Hintergrund;18;8
Hessen;DEHE028;Fürth/Odenwald;"ländliches Gebiet";Hintergrund;16;5
Hessen;DEHE030;Marburg;"städtisches Gebiet";Hintergrund;20;9
Hessen;DEHE032;Bebra;"städtisches Gebiet";Hintergrund;23;10
Hessen;DEHE033;Borken;"vorstädtisches Gebiet";Hintergrund;18;3
Hessen;DEHE034;Nidda;"ländlich stadtnah";Hintergrund;15;0
Hessen;DEHE043;Riedstadt;"ländlich stadtnah";Hintergrund;22;9
Hessen;DEHE044;Limburg;"städtisches Gebiet";Hintergrund;26;16
Hessen;DEHE045;Michelstadt;"städtisches Gebiet";Hintergrund;20;8
Hessen;DEHE046;"Bad Arolsen";"ländliches Gebiet";Hintergrund;18;6
Hessen;DEHE051;Wasserkuppe;"ländliches Gebiet";Hintergrund;12;0
Hessen;DEHE014;Kassel-Nord;"städtisches Gebiet";Verkehr;24;17
Hessen;DEHE029;Dillenburg;"städtisches Gebiet";Verkehr;31;40
Hessen;DEHE031;Fulda;"städtisches Gebiet";Verkehr;22;10
Hessen;DEHE037;"Wiesbaden Ringkirche";"städtisches Gebiet";Verkehr;24;13
Hessen;DEHE040;"Darmstadt Hügelstraße";"städtisches Gebiet";Verkehr;34;60
Hessen;DEHE041;"Frankfurt Friedberger Landstraße";"städtisches Gebiet";Verkehr;32;47
Hessen;DEHE049;"Kassel Fünffensterstraße";"städtisches Gebiet";Verkehr;33;35
Mecklenburg-Vorpommern;DEMV004;Gülzow;"ländliches Gebiet";Hintergrund;19;7
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;"vorstädtisches Gebiet";Hintergrund;17;3
Mecklenburg-Vorpommern;DEMV012;Löcknitz;"ländliches Gebiet";Hintergrund;17;7
Mecklenburg-Vorpommern;DEMV017;Göhlen;"ländliches Gebiet";Hintergrund;22;4
Mecklenburg-Vorpommern;DEMV018;Zarrentin;"vorstädtisches Gebiet";Hintergrund;19;4
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;17;5
Mecklenburg-Vorpommern;DEMV002;Rostock;"städtisches Gebiet";Verkehr;22;8
Mecklenburg-Vorpommern;DEMV003;Neubrandenburg;"städtisches Gebiet";Verkehr;23;11
Mecklenburg-Vorpommern;DEMV005;Schwerin;"städtisches Gebiet";Verkehr;23;4
Mecklenburg-Vorpommern;DEMV006;Stralsund;"städtisches Gebiet";Verkehr;25;12
Niedersachsen;DENI011;Braunschweig;"vorstädtisches Gebiet";Hintergrund;23;19
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;18;8
Niedersachsen;DENI019;Solling;"ländliches Gebiet";Hintergrund;15;6
Niedersachsen;DENI020;Wolfsburg;"vorstädtisches Gebiet";Hintergrund;22;10
Niedersachsen;DENI028;Eichsfeld;"vorstädtisches Gebiet";Hintergrund;20;7
Niedersachsen;DENI029;Ostfriesland;"vorstädtisches Gebiet";Hintergrund;25;23
Niedersachsen;DENI031;Jadebusen;"ländliches Gebiet";Hintergrund;18;5
Niedersachsen;DENI038;Osnabrück;"städtisches Gebiet";Hintergrund;25;19
Niedersachsen;DENI041;Weserbergland;"vorstädtisches Gebiet";Hintergrund;23;15
Niedersachsen;DENI042;Göttingen;"vorstädtisches Gebiet";Hintergrund;19;4
Niedersachsen;DENI043;Emsland;"vorstädtisches Gebiet";Hintergrund;24;21
Niedersachsen;DENI051;Wurmberg;"ländliches Gebiet";Hintergrund;10;1
Niedersachsen;DENI052;Allertal;"vorstädtisches Gebiet";Hintergrund;20;4
Niedersachsen;DENI054;Hannover;"städtisches Gebiet";Hintergrund;26;24
Niedersachsen;DENI058;"Ostfries. Inseln";"ländliches Gebiet";Hintergrund;23;11
Niedersachsen;DENI059;Elbmündung;"ländliches Gebiet";Hintergrund;21;7
Niedersachsen;DENI060;Wendland;"ländliches Gebiet";Hintergrund;20;7
Niedersachsen;DENI062;"Lüneburger Heide";"vorstädtisches Gebiet";Hintergrund;22;13
Niedersachsen;DENI063;"Altes Land";"ländliches Gebiet";Hintergrund;22;13
Niedersachsen;DENI053;Südoldenburg;"vorstädtisches Gebiet";Industrie;26;22
Niedersachsen;DENI008;"Braunschweig Verkehr_alt";"städtisches Gebiet";Verkehr;39;76
Niedersachsen;DENI048;"Hannover Verkehr";"städtisches Gebiet";Verkehr;38;59
Nordrhein-Westfalen;DENW002;Datteln-Hagem;"vorstädtisches Gebiet";Hintergrund;25;20
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;"vorstädtisches Gebiet";Hintergrund;25;11
Nordrhein-Westfalen;DENW008;Dortmund-Eving;"städtisches Gebiet";Hintergrund;27;32
Nordrhein-Westfalen;DENW010;Unna-Königsborn;"vorstädtisches Gebiet";Hintergrund;22;13
Nordrhein-Westfalen;DENW011;Dortmund-Hörde;"vorstädtisches Gebiet";Hintergrund;26;25
Nordrhein-Westfalen;DENW013;Schwerte;"städtisches Gebiet";Hintergrund;24;16
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;"vorstädtisches Gebiet";Hintergrund;28;37
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;"städtisches Gebiet";Hintergrund;29;25
Nordrhein-Westfalen;DENW028;"Essen-Schuir (LUA)";"vorstädtisches Gebiet";Hintergrund;24;7
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;"vorstädtisches Gebiet";Hintergrund;22;10
Nordrhein-Westfalen;DENW030;Wesel-Feldmark;"vorstädtisches Gebiet";Hintergrund;23;15
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;"städtisches Gebiet";Hintergrund;27;26
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;"vorstädtisches Gebiet";Hintergrund;26;20
Nordrhein-Westfalen;DENW042;Krefeld-Linn;"städtisches Gebiet";Hintergrund;23;12
Nordrhein-Westfalen;DENW048;Düsseldorf-Reisholz;"vorstädtisches Gebiet";Hintergrund;26;21
Nordrhein-Westfalen;DENW050;Dormagen-Horrem;"vorstädtisches Gebiet";Hintergrund;24;16
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;"städtisches Gebiet";Hintergrund;24;18
Nordrhein-Westfalen;DENW059;Köln-Rodenkirchen;"vorstädtisches Gebiet";Hintergrund;24;13
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;"vorstädtisches Gebiet";Hintergrund;23;7
Nordrhein-Westfalen;DENW063;"Horn-Bad Meinberg (Egge)";"ländlich regional";Hintergrund;15;4
Nordrhein-Westfalen;DENW064;"Simmerath (Eifel)";"ländlich regional";Hintergrund;15;2
Nordrhein-Westfalen;DENW065;"Netphen Rothaargebirge";"ländlich regional";Hintergrund;12;0
Nordrhein-Westfalen;DENW066;Nettetal-Kaldenkirchen;"ländlich stadtnah";Hintergrund;25;26
Nordrhein-Westfalen;DENW067;Bielefeld-Ost;"städtisches Gebiet";Hintergrund;24;16
Nordrhein-Westfalen;DENW068;Soest-Ost;"ländlich stadtnah";Hintergrund;20;12
Nordrhein-Westfalen;DENW071;Düsseldorf-Lörick;"städtisches Gebiet";Hintergrund;22;8
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;"vorstädtisches Gebiet";Hintergrund;22;11
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;"vorstädtisches Gebiet";Hintergrund;19;8
Nordrhein-Westfalen;DENW080;Solingen-Wald;"vorstädtisches Gebiet";Hintergrund;22;10
Nordrhein-Westfalen;DENW081;Borken-Gemen;"ländlich stadtnah";Hintergrund;23;16
Nordrhein-Westfalen;DENW094;Aachen-Burtscheid;"städtisches Gebiet";Hintergrund;19;5
Nordrhein-Westfalen;DENW095;Münster-Geist;"städtisches Gebiet";Hintergrund;23;10
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;"vorstädtisches Gebiet";Hintergrund;24;20
Nordrhein-Westfalen;DENW114;Wuppertal-Langerfeld;"städtisches Gebiet";Hintergrund;23;7
Nordrhein-Westfalen;DENW132;"Siegen Haardter Berg";"vorstädtisches Gebiet";Hintergrund;21;4
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;"städtisches Gebiet";Industrie;29;27
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;"städtisches Gebiet";Industrie;30;40
Nordrhein-Westfalen;DENW037;Duisburg-Meiderich;"vorstädtisches Gebiet";Industrie;29;26
Nordrhein-Westfalen;DENW058;Hürth;"vorstädtisches Gebiet";Industrie;25;15
Nordrhein-Westfalen;DENW074;Niederzier;"ländlich stadtnah";Industrie;30;42
Nordrhein-Westfalen;DENW102;Duisburg-Bruckhausen;"städtisches Gebiet";Industrie;37;58
Nordrhein-Westfalen;DENW106;Duisburg-Hüttenheim;"städtisches Gebiet";Industrie;36;66
Nordrhein-Westfalen;DENW115;Krefeld-Stahldorf;"städtisches Gebiet";Industrie;28;13
Nordrhein-Westfalen;DENW116;"Krefeld (Hafen)";"vorstädtisches Gebiet";Industrie;41;102
Nordrhein-Westfalen;DENW129;"Datteln Bahnhof";"vorstädtisches Gebiet";Industrie;28;35
Nordrhein-Westfalen;DENW131;"Duisburg Kiebitzmühlenstraße";"städtisches Gebiet";Industrie;44;101
Nordrhein-Westfalen;DENW143;Elsdorf-Angelsdorf;"ländliches Gebiet";Industrie;30;20
Nordrhein-Westfalen;DENW043;"Essen-Ost Steeler Straße";"städtisches Gebiet";Verkehr;29;31
Nordrhein-Westfalen;DENW072;Düsseldorf-Mörsenbroich;"städtisches Gebiet";Verkehr;29;31
Nordrhein-Westfalen;DENW077;"Hagen Emilienplatz";"städtisches Gebiet";Verkehr;30;25
Nordrhein-Westfalen;DENW082;"Düsseldorf Corneliusstraße";"städtisches Gebiet";Verkehr;42;79
Nordrhein-Westfalen;DENW097;"Wuppertal Friedrich-Engels-Allee";"städtisches Gebiet";Verkehr;29;28
Nordrhein-Westfalen;DENW098;"Münster Friesenring";"städtisches Gebiet";Verkehr;26;19
Nordrhein-Westfalen;DENW099;"Aachen Kaiserplatz";"städtisches Gebiet";Verkehr;27;31
Nordrhein-Westfalen;DENW100;"Mönchengladbach Düsseldorfer Straße";"städtisches Gebiet";Verkehr;25;19
Nordrhein-Westfalen;DENW101;"Dortmund Steinstraße";"städtisches Gebiet";Verkehr;32;43
Nordrhein-Westfalen;DENW112;"Duisburg Kardinal-Galen-Straße";"städtisches Gebiet";Verkehr;32;39
Nordrhein-Westfalen;DENW134;"Essen Gladbecker Straße";"städtisches Gebiet";Verkehr;37;75
Nordrhein-Westfalen;DENW135;"Essen Hombrucher Straße";"städtisches Gebiet";Verkehr;35;46
Nordrhein-Westfalen;DENW136;"Dortmund Brackeler Straße";"städtisches Gebiet";Verkehr;42;91
Nordrhein-Westfalen;DENW137;"Hagen Wehringhauser Straße";"städtisches Gebiet";Verkehr;27;17
Nordrhein-Westfalen;DENW138;"Neuss Friedrichstraße";"städtisches Gebiet";Verkehr;30;35
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;"städtisches Gebiet";Hintergrund;23;17
Rheinland-Pfalz;DERP002;Ludwigshafen-Mitte;"städtisches Gebiet";Hintergrund;25;22
Rheinland-Pfalz;DERP007;Mainz-Mombach;"städtisches Gebiet";Hintergrund;19;8
Rheinland-Pfalz;DERP008;Mainz-Goetheplatz;"städtisches Gebiet";Hintergrund;21;10
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;"städtisches Gebiet";Hintergrund;24;14
Rheinland-Pfalz;DERP013;Westpfalz-Waldmohr;"ländliches Gebiet";Hintergrund;17;4
Rheinland-Pfalz;DERP014;Hunsrück-Leisel;"ländliches Gebiet";Hintergrund;14;1
Rheinland-Pfalz;DERP015;"Westeifel Wascheid";"ländliches Gebiet";Hintergrund;14;0
Rheinland-Pfalz;DERP016;Westerwald-Herdorf;"ländliches Gebiet";Hintergrund;15;3
Rheinland-Pfalz;DERP017;Pfälzerwald-Hortenkopf;"ländliches Gebiet";Hintergrund;14;2
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;"städtisches Gebiet";Hintergrund;22;12
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;"städtisches Gebiet";Hintergrund;25;16
Rheinland-Pfalz;DERP022;"Bad Kreuznach-Bosenheimer Straße";"städtisches Gebiet";Hintergrund;22;12
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;"städtisches Gebiet";Hintergrund;22;15
Rheinland-Pfalz;DERP028;Westerwald-Neuhäusel;"ländliches Gebiet";Hintergrund;14;1
Rheinland-Pfalz;DERP042;"Pirmasens Schäferstr.";"städtisches Gebiet";Hintergrund;26;19
Rheinland-Pfalz;DERP003;Ludwigshafen-Mundenheim;"städtisches Gebiet";Industrie;26;22
Rheinland-Pfalz;DERP010;Mainz-Parcusstraße;"städtisches Gebiet";Verkehr;34;45
Rheinland-Pfalz;DERP018;Speyer-St.-Guido-Stifts-Platz;"städtisches Gebiet";Verkehr;26;27
Rheinland-Pfalz;DERP020;Trier-Ostallee;"städtisches Gebiet";Verkehr;30;28
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;"städtisches Gebiet";Verkehr;28;30
Rheinland-Pfalz;DERP024;Koblenz-Friedrich-Ebert-Ring;"städtisches Gebiet";Verkehr;24;14
Rheinland-Pfalz;DERP029;Koblenz-Zentralplatz;"städtisches Gebiet";Verkehr;29;20
Rheinland-Pfalz;DERP032;"Neuwied-Heddesdorfer Straße";"städtisches Gebiet";Verkehr;31;36
Rheinland-Pfalz;DERP036;"Trier Kaiserstraße";"städtisches Gebiet";Verkehr;29;23
Rheinland-Pfalz;DERP041;Ludwigshafen-Heinigstraße;"städtisches Gebiet";Verkehr;37;71
Saarland;DESL010;Saarbrücken-Burbach;"städtisches Gebiet";Hintergrund;20;9
